Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in)
2020-07-01,      82, 68.0, 54,        57, 53.9, 52,      94, 64.0, 37,     13, 3.8, 0,      26.5, 26.5, 26.4,   0.00
2020-07-02,      79, 69.8, 57,        59, 56.5, 54,      94, 65.5, 44,     8,   2.7, 0,     26.5, 26.5, 26.4,   0.00
2020-07-03,      82, 72.0, 59,        61, 54.5, 50,      94, 57.8, 32,     7,   3.8, 1,     26.6, 26.5, 26.5,   0.00
2020-07-04,      82, 71.1, 59,        57, 53.7, 50,      77, 55.5, 37,     14, 6.3, 1,      26.6, 26.5, 26.5,   0.00
2020-07-05,      79, 68.2, 59,        57, 55.0, 54,      88, 65.2, 42,     14, 6.1, 0,      26.6, 26.6, 26.5,   0.00
2020-07-06,      81, 67.3, 54,        57, 51.6, 48,      94, 61.5, 32,     15, 6.3, 0,      26.6, 26.6, 26.5,   0.00
2020-07-07,      79, 66.6, 54,        55, 52.3, 48,      88, 63.0, 39,     14, 5.3, 0,      26.6, 26.5, 26.4,   0.00
2020-07-08,      81, 68.8, 57,        55, 52.8, 50,      88, 60.0, 34,     9,   4.2, 0,     26.6, 26.5, 26.5,   0.00
2020-07-09,      82, 68.6, 54,        55, 52.0, 48,      94, 59.6, 30,     12, 4.8, 0,      26.6, 26.6, 26.5,   0.00
2020-07-10,     81, 67.9, 52,        52, 48.3, 39,      88, 55.0, 23,     21, 7.2, 0,      26.6, 26.6, 26.5,   0.00
2020-07-11,     81, 68.4, 54,        57, 53.6, 50,      88, 61.7, 37,     13, 6.0, 0,      26.6, 26.6, 26.5,   0.00
2020-07-12,     82, 69.1, 55,        54, 52.0, 48,      88, 57.1, 35,     9,   4.3, 0,     26.6, 26.5, 26.5,   0.00
2020-07-13,     82, 67.9, 54,        54, 49.2, 45,      88, 55.5, 28,     12, 4.5, 0,      26.6, 26.6, 26.5,   0.00
2020-07-14,     84, 67.0, 52,        48, 45.3, 39,      82, 51.3, 20,     15, 5.5, 0,      26.6, 26.6, 26.5,   0.00
2020-07-15,     82, 68.0, 52,        50, 45.9, 39,      82, 49.0, 26,     20, 8.0, 0,      26.6, 26.6, 26.5,   0.00
2020-07-16,     79, 66.3, 50,        50, 46.8, 43,      82, 52.5, 28,     15, 6.5, 0,      26.6, 26.6, 26.5,   0.00
2020-07-17,     79, 65.2, 52,        57, 50.8, 48,      88, 62.6, 34,     12, 5.3, 0,      26.7, 26.6, 26.5,   0.00
2020-07-18,     77, 65.8, 54,        57, 50.8, 48,      88, 62.0, 36,     17, 9.0, 0,      26.6, 26.6, 26.5,   0.00
2020-07-19,     77, 65.7, 55,        55, 50.2, 46,      82, 59.0, 39,     15, 9.3, 5,      26.6, 26.6, 26.5,   0.00
2020-07-20,     79, 68.3, 59,        55, 51.0, 45,      77, 56.7, 32,     21, 10.0, 2,     26.6, 26.6, 26.5,   0.00
2020-07-21,     81, 67.0, 54,        57, 52.2, 50,      94, 62.3, 36,     14, 5.8, 0,      26.6, 26.6, 26.5,   0.00
2020-07-22,     81, 67.5, 54,        57, 52.3, 50,      94, 61.9, 37,     14, 6.0, 0,      26.6, 26.5, 26.5,   0.00
2020-07-23,     79, 66.5, 52,        52, 48.5, 45,      88, 56.4, 32,     14, 6.0, 0,      26.6, 26.6, 26.5,   0.00
2020-07-24,     79, 65.5, 43,        54, 49.9, 45,      88, 55.8, 0,      13, 5.5, 0,      26.6, 26.6, 26.5,   0.00
2020-07-25,     79, 67.7, 52,        57, 52.9, 50,      94, 62.1, 39,     12, 5.8, 0,      26.7, 26.6, 26.6,   0.00
2020-07-26,     81, 68.2, 57,        54, 51.7, 45,      82, 57.9, 28,     17, 9.1, 1,      26.6, 26.6, 26.5,   0.00
2020-07-27,     81, 68.9, 55,        61, 54.8, 50,      88, 63.0, 39,     15, 7.9, 0,      26.6, 26.6, 26.5,   0.00
2020-07-28,     81, 70.4, 59,        59, 55.5, 52,      88, 61.4, 37,     14, 6.1, 0,      26.6, 26.6, 26.5,   0.00
2020-07-29,     82, 70.5, 57,        55, 50.8, 45,      88, 54.7, 28,     14, 5.2, 1,      26.6, 26.6, 26.5,   0.00
2020-07-30,     84, 71.4, 55,        52, 46.9, 37,      82, 45.9, 21,     15, 7.5, 0,      26.6, 26.6, 26.5,   0.00
2020-07-31,     79, 67.1, 54,        54, 49.5, 45,      82, 55.2, 36,     21, 10.8, 0,     26.7, 26.6, 26.6,   0.00
