Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in),City,State,Country
2020-07-01,      81, 68.9, 61,        58, 56.6, 52,      90, 67.3, 36,     12, 6.6, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-02,      87, 71.6, 63,        58, 55.1, 46,      81, 60.2, 24,     14, 5.8, 0,      28.9, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-03,      95, 78.8, 61,        58, 48.4, 31,      87, 43.0, 12,     14, 5.6, 0,      29.0, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-04,      93, 79.9, 66,        53, 47.6, 41,      60, 34.9, 18,     15, 6.5, 0,      29.0, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-05,      98, 81.9, 67,        51, 47.1, 40,      54, 32.4, 14,     16, 5.0, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-06,      98, 82.7, 68,        52, 46.9, 38,      56, 31.8, 14,     15, 6.1, 0,      28.9, 28.8, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-07,      94, 79.0, 66,        60, 53.1, 46,      68, 44.0, 20,     17, 6.2, 0,      28.9, 28.8, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-08,      93, 76.4, 64,        59, 54.4, 47,      78, 50.8, 20,     15, 7.5, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-09,      94, 76.4, 61,        59, 54.7, 36,      93, 54.0, 14,     14, 6.5, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-10,     100, 82.0, 65,       60, 55.1, 42,      84, 45.9, 15,     14, 5.9, 0,      29.0, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-11,     104, 87.0, 73,       59, 45.1, 22,      61, 29.9, 6,      17, 6.4, 0,      29.0, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-12,     101, 85.8, 72,       58, 46.9, 33,      52, 28.8, 10,     17, 7.6, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-13,     96, 81.4, 70,        61, 54.4, 46,      73, 42.5, 22,     17, 8.8, 0,      28.9, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-14,     90, 73.0, 65,        63, 58.4, 44,      87, 65.1, 21,     17, 7.8, 0,      28.9, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-15,     90, 72.6, 64,        60, 56.7, 42,      87, 62.5, 19,     17, 7.1, 0,      28.9, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-16,     89, 73.6, 62,        58, 57.0, 55,      86, 59.2, 32,     16, 8.0, 0,      28.9, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-17,     91, 75.5, 63,        58, 57.4, 55,      84, 56.4, 30,     16, 7.6, 0,      29.0, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-18,     94, 77.5, 65,        59, 55.8, 50,      78, 51.5, 22,     13, 6.7, 0,      29.0, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-19,     92, 77.0, 64,        57, 52.2, 46,      78, 46.4, 21,     14, 5.9, 0,      28.9, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-20,     90, 76.0, 62,        58, 54.3, 49,      80, 50.7, 27,     14, 7.0, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-21,     90, 74.1, 63,        59, 57.6, 55,      81, 59.5, 30,     14, 8.3, 0,      28.9, 28.8, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-22,     85, 70.9, 61,        59, 57.4, 55,      90, 65.5, 36,     16, 8.6, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-23,     84, 68.1, 60,        57, 56.1, 52,      87, 68.1, 33,     13, 6.0, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-24,     86, 69.5, 60,        58, 56.5, 53,      90, 66.9, 33,     15, 7.5, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-25,     92, 73.9, 61,        58, 56.2, 50,      90, 58.9, 24,     39, 9.2, 3,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-26,     95, 78.0, 64,        59, 55.1, 49,      80, 49.7, 23,     18, 7.2, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-27,     90, 75.8, 64,        56, 54.0, 50,      73, 49.4, 26,     17, 7.5, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-28,     92, 75.9, 63,        57, 55.2, 50,      78, 52.2, 27,     17, 6.5, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-29,     95, 77.2, 62,        57, 55.8, 52,      81, 51.8, 24,     15, 6.0, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-30,     101, 82.3, 67,       58, 51.9, 38,      73, 40.6, 11,     14, 5.8, 0,      28.9, 28.9, 28.9,   0.00,   Ottawa, Ontario,    Canada
2020-07-31,     105, 88.6, 73,       54, 46.2, 33,      49, 26.4, 11,     16, 6.3, 0,      28.9, 28.9, 28.8,   0.00,   Ottawa, Ontario,    Canada
2020-07-01,      82, 73.3, 64,        70, 64.1, 57,      94, 74.3, 42,     8,  4.3, 0,      29.7, 29.7, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-02,      93, 83.7, 75,        68, 61.1, 57,      65, 47.5, 30,     16, 8.8, 5,      29.7, 29.6, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-03,      91, 81.2, 66,        70, 63.8, 57,      78, 56.2, 45,     14, 8.8, 3,      29.7, 29.6, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-04,      81, 76.9, 73,        64, 58.3, 52,      69, 53.3, 39,     12, 6.7, 0,      29.7, 29.7, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-05,      84, 74.5, 63,        61, 56.2, 52,      73, 53.8, 39,     8,  4.4, 0,      29.7, 29.7, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-06,      77, 73.9, 70,        68, 64.5, 61,      78, 72.5, 65,     15, 9.2, 0,      29.8, 29.7, 29.7,   0.00,   Toronto, Ontario,    Canada
2020-07-07,      86, 78.7, 72,        73, 67.8, 61,      83, 69.1, 55,     9,  5.8, 2,      29.7, 29.7, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-08,      86, 77.8, 72,        75, 71.6, 68,      100,81.7, 55,     25, 6.5, 0,      29.7, 29.6, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-09,      88, 78.1, 72,        77, 72.4, 70,      94, 83.3, 62,     12, 4.8, 0,      29.7, 29.6, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-10,     84, 79.2, 73,        75, 71.8, 68,      89, 78.5, 69,     17, 9.3, 0,      29.6, 29.5, 29.4,   0.00,   Toronto, Ontario,    Canada
2020-07-11,     84, 74.6, 72,        73, 70.2, 64,      94, 84.9, 62,     24, 10.8, 2,     29.4, 29.3, 29.3,   0.00,   Toronto, Ontario,    Canada
2020-07-12,     79, 73.1, 66,        68, 64.5, 61,      88, 74.3, 61,     16, 9.3, 6,      29.5, 29.4, 29.4,   0.00,   Toronto, Ontario,    Canada
2020-07-13,     77, 72.2, 68,        64, 60.7, 57,      83, 67.4, 54,     16, 9.7, 5,      29.7, 29.6, 29.5,   0.00,   Toronto, Ontario,    Canada
2020-07-14,     75, 71.2, 66,        68, 63.5, 61,      83, 76.3, 69,     12, 6.5, 0,      29.8, 29.8, 29.7,   0.00,   Toronto, Ontario,    Canada
2020-07-15,     79, 72.6, 68,        70, 66.9, 64,      94, 82.8, 65,     12, 5.7, 0,      29.9, 29.8, 29.8,   0.00,   Toronto, Ontario,    Canada
2020-07-16,     77, 74.4, 73,        73, 71.4, 68,      100, 89.5, 78,    12, 7.2, 2,      29.8, 29.7, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-17,     81, 75.9, 72,        73, 69.0, 64,      100, 79.6, 61,    14, 10.2, 6,     29.8, 29.8, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-18,     82, 76.5, 72,        73, 70.2, 68,      94, 80.5, 65,     15, 9.3, 5,      29.8, 29.7, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-19,     79, 73.0, 68,        73, 70.1, 66,      100, 90.3, 83,    32, 12.9, 2,     29.6, 29.5, 29.4,   0.00,   Toronto, Ontario,    Canada
2020-07-20,     84, 74.9, 66,        72, 64.4, 59,      100, 71.7, 48,    21, 10.6, 6,     29.7, 29.6, 29.5,   0.00,   Toronto, Ontario,    Canada
2020-07-21,     75, 69.3, 61,        66, 61.3, 57,      88, 75.5, 68,     10, 6.3, 3,      29.8, 29.8, 29.7,   0.00,   Toronto, Ontario,    Canada
2020-07-22,     77, 71.9, 68,        72, 69.7, 64,      100, 92.3, 78,    10, 5.8, 2,      29.7, 29.6, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-23,     77, 71.9, 68,        70, 66.1, 61,      94, 82.5, 61,     10, 5.7, 0,      29.8, 29.7, 29.7,   0.00,   Toronto, Ontario,    Canada
2020-07-24,     79, 72.9, 70,        70, 65.1, 61,      94, 76.5, 65,     14, 8.0, 0,      29.9, 29.9, 29.8,   0.00,   Toronto, Ontario,    Canada
2020-07-25,     82, 74.4, 66,        70, 65.0, 59,      94, 73.4, 54,     9,  5.0, 0,      29.9, 29.8, 29.7,   0.00,   Toronto, Ontario,    Canada
2020-07-26,     86, 75.3, 70,        70, 67.5, 64,      88, 77.5, 58,     16, 10.3, 5,     29.8, 29.7, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-27,     88, 78.0, 70,        75, 69.9, 66,      94, 76.6, 58,     16, 9.4, 3,      29.6, 29.5, 29.4,   0.00,   Toronto, Ontario,    Canada
2020-07-28,     81, 72.5, 64,        68, 62.2, 55,      94, 71.8, 42,     15, 9.7, 3,      29.6, 29.5, 29.5,   0.00,   Toronto, Ontario,    Canada
2020-07-29,     84, 72.0, 64,        66, 63.0, 57,      94, 74.3, 40,     16, 7.8, 2,      29.6, 29.6, 29.5,   0.00,   Toronto, Ontario,    Canada
2020-07-30,     79, 72.6, 64,        63, 60.1, 55,      78, 65.0, 54,     13, 7.0, 0,      29.6, 29.6, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-31,     79, 74.0, 70,        68, 63.8, 61,      83, 70.4, 57,     13, 6.7, 2,      29.6, 29.6, 29.6,   0.00,   Toronto, Ontario,    Canada
2020-07-01,      88, 75.8, 63,        66, 61.2, 57,      88, 62.8, 35,     13, 7.7, 2,      29.8, 29.8, 29.7,   0.00,   Montreal, Quebec,    Canada
2020-07-02,      86, 78.2, 68,        68, 66.1, 64,      88, 67.5, 51,     16, 8.8, 0,      29.7, 29.6, 29.6,   0.00,   Montreal, Quebec,    Canada
2020-07-03,      84, 75.3, 66,        68, 60.5, 55,      83, 62.0, 37,     14, 7.3, 0,      29.8, 29.7, 29.7,   0.00,   Montreal, Quebec,    Canada
2020-07-04,      86, 76.0, 63,        61, 50.0, 45,      72, 42.6, 23,     14, 6.5, 0,      29.8, 29.8, 29.7,   0.00,   Montreal, Quebec,    Canada
2020-07-05,      82, 73.0, 63,        57, 53.8, 50,      77, 52.3, 34,     15, 7.6, 0,      29.9, 29.8, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-06,      86, 73.9, 59,        57, 52.3, 46,      82, 50.8, 25,     10, 4.6, 0,      30.0, 29.9, 29.9,   0.00,   Montreal, Quebec,    Canada
2020-07-07,      91, 78.6, 63,        68, 59.3, 50,      77, 52.7, 38,     15, 8.6, 3,      29.9, 29.8, 29.7,   0.00,   Montreal, Quebec,    Canada
2020-07-08,      86, 77.7, 72,        73, 69.6, 66,      94, 76.3, 58,     22, 7.8, 0,      29.8, 29.7, 29.7,   0.00,   Montreal, Quebec,    Canada
2020-07-09,      93, 82.3, 70,        73, 69.6, 66,      94, 67.2, 44,     12, 6.7, 3,      29.8, 29.8, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-10,     97, 85.8, 75,        72, 68.1, 66,      78, 56.5, 39,     18, 9.5, 3,      29.8, 29.8, 29.7,   0.00,   Montreal, Quebec,    Canada
2020-07-11,     81, 76.4, 73,        73, 71.0, 66,      94, 83.4, 61,     15, 9.5, 6,      29.7, 29.4, 29.4,   0.00,   Montreal, Quebec,    Canada
2020-07-12,     82, 75.7, 72,        72, 68.4, 63,      94, 78.4, 54,     23, 11.0, 2,     29.6, 29.4, 29.3,   0.00,   Montreal, Quebec,    Canada
2020-07-13,     81, 75.0, 68,        63, 60.4, 57,      78, 61.4, 45,     16, 8.1, 3,      29.7, 29.6, 29.6,   0.00,   Montreal, Quebec,    Canada
2020-07-14,     79, 72.0, 66,        63, 58.9, 54,      83, 64.3, 44,     17, 12.0, 7,     30.0, 29.9, 29.7,   0.00,   Montreal, Quebec,    Canada
2020-07-15,     79, 70.6, 59,        59, 55.9, 52,      82, 61.2, 44,     15, 9.6, 3,      30.1, 30.1, 30.0,   0.00,   Montreal, Quebec,    Canada
2020-07-16,     82, 74.9, 68,        68, 64.1, 59,      83, 69.6, 58,     22, 12.4, 0,     30.1, 30.0, 29.9,   0.00,   Montreal, Quebec,    Canada
2020-07-17,     84, 69.0, 63,        70, 63.8, 61,      100, 84.5, 48,    23, 12.6, 0,     29.9, 29.8, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-18,     88, 78.7, 70,        70, 65.8, 63,      83, 65.6, 48,     15, 9.9, 3,      29.9, 29.8, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-19,     91, 79.2, 72,        73, 69.9, 64,      94, 73.7, 49,     20, 11.3, 0,     29.8, 29.6, 29.5,   0.00,   Montreal, Quebec,    Canada
2020-07-20,     84, 78.2, 73,        72, 66.8, 61,      94, 68.5, 51,     23, 13.9, 8,     29.7, 29.6, 29.5,   0.00,   Montreal, Quebec,    Canada
2020-07-21,     77, 71.4, 66,        61, 54.5, 50,      73, 55.7, 44,     12, 7.3, 2,      29.9, 29.9, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-22,     79, 71.1, 63,        63, 57.9, 55,      77, 64.3, 44,     16, 6.5, 2,      29.9, 29.9, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-23,     77, 70.8, 66,        64, 62.6, 59,      88, 75.2, 57,     14, 8.3, 2,      29.9, 29.9, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-24,     86, 74.6, 63,        63, 59.0, 54,      88, 60.6, 35,     13, 6.5, 0,      30.0, 29.9, 29.9,   0.00,   Montreal, Quebec,    Canada
2020-07-25,     86, 77.5, 66,        63, 59.3, 55,      83, 54.8, 35,     17, 9.9, 2,      29.9, 29.9, 29.8,   0.00,   Montreal, Quebec,    Canada
2020-07-26,     90, 79.8, 73,        73, 67.8, 59,      94, 68.3, 52,     23, 15.6, 5,     29.8, 29.7, 29.6,   0.00,   Montreal, Quebec,    Canada
2020-07-27,     86, 78.0, 73,        77, 73.3, 72,      94, 85.9, 66,     16, 11.7, 2,     29.6, 29.5, 29.4,   0.00,   Montreal, Quebec,    Canada
2020-07-28,     86, 78.8, 75,        73, 66.0, 57,      89, 66.9, 40,     23, 14.0, 6,     29.6, 29.5, 29.5,   0.00,   Montreal, Quebec,    Canada
2020-07-29,     77, 72.0, 68,        70, 65.0, 63,      94, 79.1, 61,     13, 7.2, 0,      29.7, 29.7, 29.6,   0.00,   Montreal, Quebec,    Canada
2020-07-30,     81, 72.0, 63,        66, 62.6, 57,      100, 73.9, 45,    16, 7.3, 0,      29.7, 29.7, 29.6,   0.00,   Montreal, Quebec,    Canada
2020-07-31,     81, 72.5, 63,        64, 62.3, 59,      88, 71.5, 51,     12, 3.8, 0,      29.7, 29.7, 29.7,   0.00,   Montreal, Quebec,    Canada
