Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in)
2020-07-01,      77, 69.2, 64,        64, 60.5, 55,      88, 74.3, 54,     16, 10.7, 6,     29.5, 29.5, 29.5,   0.00
2020-07-02,      73, 65.6, 59,        55, 52.4, 48,      88, 63.5, 44,     18, 10.4, 5,     29.7, 29.6, 29.5,   0.00
2020-07-03,      73, 64.2, 54,        54, 50.2, 48,      88, 62.6, 41,     13, 7.6, 2,      29.8, 29.8, 29.7,   0.00
2020-07-04,      75, 66.4, 57,        61, 55.1, 48,      82, 67.4, 57,     21, 12.6, 5,     29.8, 29.8, 29.7,   0.00
2020-07-05,      79, 69.4, 64,        64, 61.6, 57,      94, 76.1, 57,     17, 13.9, 8,     29.7, 29.7, 29.7,   0.00
2020-07-06,      73, 63.4, 52,        55, 46.6, 43,      88, 56.9, 35,     16, 11.1, 6,     29.9, 29.8, 29.7,   0.00
2020-07-07,      77, 65.5, 50,        52, 46.1, 43,      82, 53.2, 31,     10, 5.6, 2,      29.9, 29.8, 29.8,   0.00
2020-07-08,      84, 70.5, 55,        61, 54.0, 48,      82, 57.5, 42,     14, 8.8, 2,      29.8, 29.7, 29.7,   0.00
2020-07-09,      90, 75.9, 59,        61, 56.8, 52,      94, 56.9, 27,     18, 8.6, 0,      29.7, 29.6, 29.6,   0.00
2020-07-10,     75, 67.7, 61,        59, 53.0, 43,      83, 61.4, 38,     15, 11.2, 6,     29.8, 29.7, 29.6,   0.00
2020-07-11,     75, 65.0, 54,        52, 45.1, 41,      82, 51.4, 29,     14, 7.5, 0,      29.9, 29.9, 29.8,   0.00
2020-07-12,     79, 67.8, 55,        50, 46.3, 43,      77, 48.4, 29,     14, 9.4, 6,      30.0, 29.9, 29.9,   0.00
2020-07-13,     82, 71.3, 59,        52, 45.7, 39,      67, 42.5, 23,     14, 8.4, 5,      29.9, 29.9, 29.8,   0.00
2020-07-14,     73, 67.7, 59,        57, 50.6, 45,      68, 55.1, 43,     13, 7.7, 2,      29.8, 29.7, 29.6,   0.00
2020-07-15,     73, 67.2, 63,        57, 53.1, 50,      82, 61.2, 46,     12, 7.2, 2,      29.8, 29.6, 29.6,   0.00
2020-07-16,     70, 65.4, 61,        57, 55.3, 54,      88, 70.8, 60,     12, 8.4, 5,      29.8, 29.8, 29.8,   0.00
2020-07-17,     81, 70.2, 61,        55, 54.7, 54,      82, 59.9, 39,     10, 4.7, 2,      29.8, 29.8, 29.8,   0.00
2020-07-18,     86, 73.2, 59,        59, 54.2, 48,      88, 55.1, 27,     8,   5.5, 2,     29.8, 29.8, 29.7,   0.00
2020-07-19,     88, 75.6, 59,        57, 52.5, 48,      77, 47.8, 27,     14, 5.2, 0,      29.7, 29.7, 29.6,   0.00
2020-07-20,     79, 70.1, 63,        59, 53.5, 43,      83, 58.5, 34,     15, 11.6, 8,     29.8, 29.7, 29.7,   0.00
2020-07-21,     79, 68.7, 57,        48, 44.2, 37,      72, 44.6, 23,     16, 11.5, 9,     29.9, 29.9, 29.8,   0.00
2020-07-22,     79, 68.6, 57,        48, 44.9, 37,      67, 45.1, 24,     14, 9.5, 6,      29.9, 29.8, 29.8,   0.00
2020-07-23,     84, 72.5, 57,        50, 45.3, 41,      67, 40.0, 22,     9,   4.8, 2,     29.8, 29.7, 29.6,   0.00
2020-07-24,     77, 70.5, 64,        57, 53.1, 46,      73, 54.6, 44,     12, 7.8, 3,      29.6, 29.6, 29.6,   0.00
2020-07-25,     81, 71.0, 61,        61, 56.0, 54,      82, 60.9, 39,     16, 9.0, 2,      29.6, 29.6, 29.5,   0.00
2020-07-26,     79, 69.8, 61,        61, 55.3, 48,      94, 63.6, 36,     14, 9.4, 1,      29.7, 29.6, 29.5,   0.00
2020-07-27,     90, 74.9, 59,        59, 50.5, 37,      82, 47.9, 17,     22, 11.2, 0,     29.7, 29.6, 29.5,   0.00
2020-07-28,     77, 70.6, 64,        61, 52.6, 48,      78, 54.8, 36,     15, 11.5, 9,     29.8, 29.6, 29.5,   0.00
2020-07-29,     81, 68.7, 55,        54, 47.4, 45,      82, 49.8, 28,     10, 4.5, 2,      29.8, 29.8, 29.8,   0.00
2020-07-30,     91, 76.4, 57,        52, 46.8, 41,      72, 39.9, 17,     9,   5.9, 2,     29.8, 29.7, 29.6,   0.00
2020-07-31,     102, 83.6, 68,       63, 53.7, 43,      51, 36.1, 24,     21, 5.6, 0,      29.6, 29.6, 29.6,   0.00
