Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in)
2020-07-01,      86, 77.2, 66,        72, 61.3, 49,      100, 65.4, 1,     8,   4.1, 1,     29.5, 29.5, 29.4,   0.00
2020-07-02,      88, 77.9, 68,        72, 66.6, 57,      100, 70.4, 46,    12, 4.1, 1,      29.5, 29.4, 29.4,   0.00
2020-07-03,      86, 74.5, 64,        68, 63.5, 55,      100, 69.9, 48,    24, 6.8, 1,      29.7, 29.5, 29.4,   0.00
2020-07-04,      84, 73.9, 63,        66, 61.0, 54,      100, 69.7, 0,     7,   3.9, 1,     29.7, 29.6, 29.6,   0.00
2020-07-05,      86, 76.9, 66,        70, 65.5, 63,      100, 70.3, 48,    7,   3.3, 1,     29.7, 29.6, 29.6,   0.00
2020-07-06,      90, 80.6, 68,        70, 68.0, 57,      100, 68.0, 42,    9,   3.2, 1,     29.6, 29.4, 29.3,   0.00
2020-07-07,      81, 75.4, 68,        66, 53.7, 37,      83, 48.9, 24,     17, 9.8, 2,      29.6, 29.6, 29.4,   0.00
2020-07-08,      84, 74.5, 66,        64, 54.8, 50,      88, 51.4, 39,     7,   4.2, 1,     29.7, 29.6, 29.6,   0.00
2020-07-09,      86, 76.1, 66,        70, 62.3, 57,      88, 64.2, 40,     6,   3.0, 1,     29.7, 29.6, 29.6,   0.00
2020-07-10,     90, 79.8, 70,        68, 65.3, 61,      94, 63.8, 38,     7,   3.4, 0,     29.6, 29.6, 29.5,   0.00
2020-07-11,     86, 77.3, 72,        70, 65.6, 61,      88, 67.9, 48,     18, 5.4, 1,      29.7, 29.5, 29.5,   0.00
2020-07-12,     82, 74.7, 66,        66, 60.3, 55,      94, 64.2, 42,     10, 7.1, 2,      29.8, 29.7, 29.7,   0.00
2020-07-13,     79, 73.8, 68,        57, 54.3, 52,      64, 50.9, 41,     12, 6.8, 3,      29.8, 29.7, 29.6,   0.00
2020-07-14,     79, 72.8, 64,        61, 54.5, 52,      88, 53.5, 39,     14, 6.1, 0,      29.6, 29.6, 29.5,   0.00
2020-07-15,     81, 72.3, 64,        66, 60.3, 55,      94, 67.8, 42,     10, 4.0, 1,      29.6, 29.5, 29.5,   0.00
2020-07-16,     84, 73.6, 63,        66, 62.8, 59,      100, 71.1, 42,    8,   3.3, 1,     29.6, 29.5, 29.5,   0.00
2020-07-17,     82, 75.2, 68,        66, 64.0, 61,      88, 69.3, 51,     10, 7.0, 1,      29.6, 29.5, 29.5,   0.00
2020-07-18,     82, 73.8, 66,        63, 58.9, 55,      78, 61.2, 42,     12, 6.1, 1,      29.6, 29.6, 29.5,   0.00
2020-07-19,     86, 75.9, 66,        63, 57.4, 54,      83, 53.9, 37,     7,   4.0, 1,     29.6, 29.6, 29.5,   0.00
2020-07-20,     88, 78.5, 66,        66, 62.8, 57,      88, 60.3, 40,     8,   4.0, 1,     29.7, 29.6, 29.6,   0.00
2020-07-21,     90, 80.4, 68,        70, 64.5, 61,      83, 59.5, 43,     8,   3.9, 1,     29.7, 29.7, 29.6,   0.00
2020-07-22,     91, 80.8, 72,        70, 65.6, 59,      88, 62.3, 34,     9,   4.3, 1,     29.7, 29.6, 29.5,   0.00
2020-07-23,     88, 78.7, 68,        72, 67.6, 63,      100, 71.3, 46,    8,   4.5, 1,     29.6, 29.5, 29.4,   0.00
2020-07-24,     79, 69.7, 61,        70, 61.7, 56,      100, 81.3, 0,     22, 6.2, 1,      29.6, 29.5, 29.4,   0.00
2020-07-25,     88, 73.9, 61,        68, 51.6, 56,      100, 63.6, 0,     7,   3.7, 1,     29.6, 29.5, 29.5,   0.00
2020-07-26,     86, 77.2, 68,        72, 65.2, 59,      94, 68.8, 45,     6,   2.7, 1,     29.6, 29.6, 29.5,   0.00
2020-07-27,     88, 79.2, 70,        72, 66.4, 63,      88, 66.8, 45,     6,   3.0, 1,     29.7, 29.6, 29.6,   0.00
2020-07-28,     91, 80.8, 70,        73, 69.5, 66,      94, 70.2, 46,     6,   2.8, 0,     29.6, 29.6, 29.5,   0.00
2020-07-29,     91, 81.9, 72,        75, 72.0, 68,      100, 73.5, 52,    6,   3.0, 0,     29.6, 29.6, 29.6,   0.00
2020-07-30,     93, 85.6, 77,        73, 70.9, 66,      83, 62.1, 46,     6,   3.7, 0,     29.7, 29.6, 29.6,   0.00
2020-07-31,     95, 84.3, 73,        75, 69.8, 66,      83, 62.8, 41,     7,   3.0, 1,     29.6, 29.6, 29.5,   0.00
