Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in),City,State,Country
2020-07-01,     86, 78.8, 73,        71, 68.1, 65,      84, 70.6, 51,     13, 6.8, 0,      29.9, 29.9, 29.8,   0.01,    Washington, District of Columbia,   USA
2020-07-02,     92, 82.6, 72,        70, 64.3, 61,      84, 56.4, 36,     13, 7.1, 0,      29.9, 29.9, 29.9,   0.11,    Washington, District of Columbia,   USA
2020-7-03,     96, 87.2, 76,        67, 64.5, 63,      64, 48.0, 36,     14, 7.0, 0,      29.9, 29.9, 29.8,   0.00,    Washington, District of Columbia,   USA
2020-07-04,     93, 85.1, 78,        71, 68.2, 65,      72, 57.5, 41,     17, 7.2, 0,      29.9, 29.9, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-05,     93, 82.7, 76,        74, 72.5, 71,      91, 72.3, 52,     16, 9.6, 6,      30.0, 30.0, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-06,     95, 80.5, 73,        75, 71.4, 68,      90, 74.7, 44,     44, 15.8,0,      30.1, 30.0, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-07,     90, 77.2, 71,        77, 71.3, 68,      96, 82.6, 57,     23, 9.6, 0,      30.1, 30.0, 30.0,   2.47,    Washington, District of Columbia,   USA
2020-0-08,     91, 82.7, 76,        74, 71.0, 64,      94, 69.7, 42,     13, 7.6, 3,      30.0, 30.0, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-09,     89, 81.6, 76,        74, 72.0, 68,      91, 73.9, 51,     12, 6.7, 0,      30.0, 29.9, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-10,    90, 81.8, 77,        73, 72.1, 70,      88, 73.1, 54,     16, 10.6,3,      29.9, 29.8, 29.7,   0.00,    Washington, District of Columbia,   USA
2020-07-11,    92, 83.1, 76,        73, 67.8, 61,      82, 62.0, 35,     17, 9.0, 0,      29.8, 29.7, 29.7,   0.00,    Washington, District of Columbia,   USA
2020-07-12,    89, 81.3, 74,        69, 64.6, 59,      76, 57.1, 45,     13, 7.9, 0,      29.8, 29.8, 29.7,   0.00,    Washington, District of Columbia,   USA
2020-07-13,    90, 80.4, 71,        69, 64.9, 58,      87, 61.8, 34,     12, 6.4, 0,      29.9, 29.9, 29.8,   0.01,    Washington, District of Columbia,   USA
2020-07-14,    89, 81.2, 73,        69, 61.8, 54,      85, 55.0, 30,     14, 7.0, 0,      30.1, 30.0, 29.9,   0.14,    Washington, District of Columbia,   USA
2020-07-15,    90, 81.7, 72,        72, 65.2, 59,      79, 58.8, 35,     12, 6.7, 0,      30.2, 30.1, 30.1,   0.00,    Washington, District of Columbia,   USA
2020-07-16,    87, 79.8, 76,        73, 70.9, 69,      88, 75.1, 57,     15, 10.1,3,      30.2, 30.2, 30.1,   0.00,    Washington, District of Columbia,   USA
2020-07-17,    95, 83.8, 76,        77, 72.3, 66,      87, 70.3, 40,     13, 8.4, 5,      30.2, 30.1, 30.0,   0.00,    Washington, District of Columbia,   USA
2020-07-18,    97, 88.4, 80,        76, 66.4, 57,      79, 50.8, 26,     10, 5.6, 0,      30.1, 30.0, 30.0,   0.00,    Washington, District of Columbia,   USA
2020-07-19,    99, 88.8, 80,        76, 72.6, 65,      81, 60.3, 33,     13, 6.0, 0,      30.0, 29.9, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-20,    99, 86.0, 78,        76, 71.8, 68,      84, 64.2, 39,     16, 7.3, 0,      29.9, 29.9, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-21,    96, 82.5, 75,        74, 71.2, 65,      91, 71.3, 40,     20, 7.3, 0,      30.1, 30.0, 29.9,   0.15,    Washington, District of Columbia,   USA
2020-07-22,    94, 78.2, 74,        76, 72.9, 69,      94, 84.8, 56,     40, 10.0,3,      30.1, 30.0, 30.0,   0.52,    Washington, District of Columbia,   USA
2020-07-23,    92, 80.0, 73,        75, 72.2, 70,      94, 78.4, 52,     28, 7.8, 0,      30.1, 30.1, 30.0,   0.56,    Washington, District of Columbia,   USA
2020-07-24,    84, 78.2, 73,        75, 72.7, 71,      94, 83.7, 67,     13, 5.3, 0,      30.1, 30.1, 30.0,   2.31,    Washington, District of Columbia,   USA
2020-07-25,    93, 82.4, 74,        76, 72.5, 70,      91, 73.2, 49,     12, 5.2, 0,      30.1, 30.1, 30.0,   0.01,    Washington, District of Columbia,   USA
2020-07-26,    94, 86.8, 78,        75, 70.0, 63,      90, 60.3, 36,     15, 7.3, 0,      30.1, 30.0, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-27,    95, 87.9, 79,        74, 69.2, 66,      74, 55.1, 41,     14, 6.0, 0,      30.0, 29.9, 29.8,   0.00,    Washington, District of Columbia,   USA
2020-07-28,    93, 85.5, 79,        74, 71.4, 68,      81, 63.5, 47,     15, 7.8, 0,      29.9, 29.9, 29.8,   0.00,    Washington, District of Columbia,   USA
2020-07-29,    92, 84.1, 75,        73, 66.4, 57,      87, 58.8, 31,     14, 6.7, 0,      30.0, 29.9, 29.9,   0.00,    Washington, District of Columbia,   USA
2020-07-30,    93, 83.0, 75,        75, 71.7, 67,      91, 70.8, 44,     25, 10.1,0,      29.9, 29.9, 29.8,   0.00,    Washington, District of Columbia,   USA
2020-07-31,    80, 76.3, 74,        73, 71.9, 70,      94, 86.3, 71,     12, 5.1, 0,      29.9, 29.8, 29.8,   0.18,    Washington, District of Columbia,   USA
